loss,accuracy,val_loss,val_accuracy
1.272355556488037,0.49197861552238464,0.6448214650154114,0.7735849022865295
0.6346620917320251,0.7486631274223328,0.40634140372276306,0.9245283007621765
0.44439631700515747,0.8288770318031311,0.4284686744213104,0.849056601524353
0.2703593671321869,0.9197860956192017,0.3363763689994812,0.9245283007621765
0.22341671586036682,0.9197860956192017,0.404376357793808,0.849056601524353
0.173635333776474,0.9358288645744324,0.2674366533756256,0.9056603908538818
0.162545308470726,0.9518716335296631,0.265056312084198,0.9056603908538818
0.12307993322610855,0.9572192430496216,0.2541164755821228,0.9056603908538818
0.0947214737534523,0.9625668525695801,0.26063430309295654,0.9245283007621765
0.07608169317245483,0.9786096215248108,0.24666988849639893,0.9245283007621765
